row_id,nominal_nfe,mean_fid,std_fid,values
official_raw_skip,2,45.676268,0.441108,45.445367 46.184897 45.398539
official_raw_skip,4,45.676268,0.441108,45.445367 46.184897 45.398539
official_raw_skip,8,45.676268,0.441108,45.445367 46.184897 45.398539
raw_raw,2,49.855337,1.055156,49.816131 48.820330 50.929550
raw_raw,4,50.005899,0.270564,49.888774 50.315292 49.813630
raw_raw,8,49.197282,0.700327,48.943027 49.989221 48.659599
raw_damage,2,50.109843,1.231283,50.152285 48.857888 51.319356
raw_damage,4,49.598730,0.201162,49.367035 49.728867 49.700287
raw_damage,8,50.205299,0.451053,50.229704 50.643654 49.742539
raw_shared_sigma,2,49.836639,0.969393,49.980148 48.803491 50.726278
raw_shared_sigma,4,49.836639,0.969393,49.980148 48.803491 50.726278
raw_shared_sigma,8,49.919896,0.375677,50.297807 49.546494 49.915387
raw_shared_logsnr,2,49.855337,1.055156,49.816131 48.820330 50.929550
raw_shared_logsnr,4,50.005899,0.270564,49.888774 50.315292 49.813630
raw_shared_logsnr,8,49.197282,0.700327,48.943027 49.989221 48.659599
